"","Price","Surface","Building_type","District","Rent","Number_of_rooms","Condition"
"2497",478418,39.8,"blok mieszkalny","Księże",450,2,"do wykończenia"
"2498",690000,59.2,"blok mieszkalny","Poświętne",500,3,"deweloperski"
"2499",1526649,88.46,"apartamentowiec","Kleczków",880,5,"do wykończenia"
"2500",546350,28.55,"blok mieszkalny","Kleczków",400,1,"do wykończenia"
"2501",570000,63,"blok mieszkalny","Psie Pole",900,4,"do remontu"
"2502",660000,47,"apartamentowiec","Jagodno",854,2,"wysoki standard"
"2503",1048770,83.9,"blok mieszkalny","Księże",600,5,"do wykończenia"
"2504",488000,32.88,"blok mieszkalny","Krzyki",600,2,"bardzo dobry"
"2505",590000,58,"blok mieszkalny","Różanka",600,3,"do remontu"
"2506",1072398,79.28,"blok mieszkalny","Klecina",400,4,"do wykończenia"
"2507",1058157,80.13,"blok mieszkalny","Poświętne",600,4,"do wykończenia"
"2508",1116833,97.54,"blok mieszkalny","Jagodno",970,5,"do wykończenia"
"2509",975000,118.24,"dom wielorodzinny","Ołtaszyn",150,4,"do wykończenia"
"2510",745860,80.21,"kamienica","Plac Grunwaldzki",470,3,"-"
"2511",2500000,105,"blok mieszkalny","Stare Miasto",998,4,"bardzo dobry"
"2512",550000,39.3,"blok mieszkalny","Stare Miasto",550,2,"bardzo dobry"
"2513",650000,68,"kamienica","Stare Miasto",370,2,"do remontu"
"2514",702000,48.85,"blok mieszkalny","Krzyki",480,2,"do wykończenia"
"2515",1107456,98.88,"blok mieszkalny","Księże",980,4,"do wykończenia"
"2516",950000,63,"apartamentowiec","Księże",1000,3,"bardzo dobry"
"2517",1220000,95,"blok mieszkalny","Krzyki",1000,3,"wysoki standard"
"2518",1175000,74.22,"blok mieszkalny","Klecina",790,4,"do wykończenia"
"2519",699000,54.74,"blok mieszkalny","Krzyki",665,2,"wysoki standard"
"2520",860000,73,"kamienica","Szczepin",700,3,"bardzo dobry"
"2521",759000,48.73,"apartamentowiec","Szczepin",550,2,"do wykończenia"
"2522",1486100,56.08,"apartamentowiec","Stare Miasto",840,2,"do wykończenia"
"2523",820000,56,"apartamentowiec","Krzyki",680,3,"dobry"
"2524",1338000,81.92,"blok mieszkalny","Kleczków",820,4,"do wykończenia"
"2525",849000,54.06,"blok mieszkalny","Szczepin",550,3,"do wykończenia"
"2526",578998,49.4,"blok mieszkalny","Krzyki",550,3,"wysoki standard"
"2527",1055450,65.1,"blok mieszkalny","Kleczków",660,3,"do wykończenia"
"2528",2425000,143,"apartamentowiec","Dąbie",1200,5,"wysoki standard"
"2529",742417,42.77,"blok mieszkalny","Stare Miasto",600,2,"bardzo dobry"
"2530",5e+05,33.5,"blok mieszkalny","Nowy Dwór",465,2,"wysoki standard"
"2531",1013877,82.07,"blok mieszkalny","Poświętne",600,4,"bardzo dobry"
"2532",1399000,87.73,"apartamentowiec","Biskupin",800,4,"do wykończenia"
"2533",882860,75.38,"blok mieszkalny","Poświętne",550,3,"do wykończenia"
"2534",559000,35.28,"blok mieszkalny","Stare Miasto",450,2,"bardzo dobry"
"2535",759990,55,"blok mieszkalny","Krzyki",600,4,"bardzo dobry"
"2536",499000,37.2,"blok mieszkalny","Gądów",380,2,"dobry"
"2537",943100,38.68,"blok mieszkalny","Stare Miasto",340,2,"nowe wykończone"
"2538",609000,32.28,"blok mieszkalny","Szczepin",320,1,"do wykończenia"
"2539",1707348,71.41,"apartamentowiec","Stare Miasto",900,4,"bardzo dobry"
"2540",586587,38,"blok mieszkalny","Krzyki",500,2,"nowe wykończone"
"2541",1387000,91.33,"blok mieszkalny","Krzyki",920,5,"nowe wykończone"
"2542",799000,65.6,"blok mieszkalny","Jagodno",750,3,"wysoki standard"
"2543",547000,42.01,"kamienica","Plac Grunwaldzki",350,3,"dobry"
"2544",970490,52.27,"blok mieszkalny","Stare Miasto",600,3,"bardzo dobry"
"2545",890000,50,"blok mieszkalny","Stare Miasto",510,3,"do wykończenia"
"2546",660432,34.18,"blok mieszkalny","Stare Miasto",450,2,"bardzo dobry"
"2547",1099791,43.47,"apartamentowiec","Stare Miasto",450,2,"do wykończenia"
"2548",1273811,59.04,"apartamentowiec","Kleczków",700,3,"do wykończenia"
"2549",581539,50.5,"blok mieszkalny","Księże",550,2,"do wykończenia"
"2550",369000,29.83,"kamienica","Nadodrze",400,2,"dobry"
"2551",1250000,118.26,"kamienica","Plac Grunwaldzki",800,8,"bardzo dobry"
"2552",799900,81.02,"blok mieszkalny","Ołtaszyn",800,3,"wysoki standard"
"2553",370000,19,"blok mieszkalny","Borek",280,1,"wysoki standard"
"2554",999000,74.15,"blok mieszkalny","Stare Miasto",13,4,"deweloperski"
"2555",846000,56.4,"blok mieszkalny","Krzyki",600,3,"do wykończenia"
"2556",629795,40.18,"blok mieszkalny","Kleczków",450,1,"do wykończenia"
"2557",625000,42,"blok mieszkalny","Powstańców Śląskich",500,2,"nowe wykończone"
"2558",919000,59.25,"apartamentowiec","Szczepin",668,3,"do wykończenia"
